,Month,Avg_Seasonality_Median_Price,Avg_Seasonality_Home_Sold,City
131,12,97.58,83.15,"Las Vegas, NV"
132,01,91.34,65.89,"Los Angeles, CA"
133,02,93.69,63.86,"Los Angeles, CA"
134,03,96.32,85.99,"Los Angeles, CA"
135,04,98.35,89.03,"Los Angeles, CA"
136,05,98.15,95.42,"Los Angeles, CA"
137,06,100.0,100.0,"Los Angeles, CA"
138,07,99.37,93.16,"Los Angeles, CA"
139,08,98.91,94.96,"Los Angeles, CA"
140,09,96.51,84.58,"Los Angeles, CA"
141,10,95.32,85.58,"Los Angeles, CA"
142,11,95.79,77.73,"Los Angeles, CA"
143,12,93.93,85.86,"Los Angeles, CA"
144,01,88.52,52.82,"Louisville, KY"
145,02,85.09,61.79,"Louisville, KY"
146,03,88.06,79.11,"Louisville, KY"
147,04,90.16,78.65,"Louisville, KY"
148,05,97.43,92.28,"Louisville, KY"
149,06,100.0,100.0,"Louisville, KY"
150,07,99.4,96.69,"Louisville, KY"
151,08,94.22,95.95,"Louisville, KY"
152,09,91.26,85.62,"Louisville, KY"
153,10,92.26,83.22,"Louisville, KY"
154,11,89.19,71.46,"Louisville, KY"
155,12,91.49,71.74,"Louisville, KY"
156,01,70.79,50.58,"Milwaukee, WI"
157,02,77.01,47.92,"Milwaukee, WI"
158,03,86.49,74.28,"Milwaukee, WI"
159,04,90.08,84.1,"Milwaukee, WI"
160,05,93.83,89.26,"Milwaukee, WI"
161,06,100.0,100.0,"Milwaukee, WI"
162,07,95.31,95.47,"Milwaukee, WI"
163,08,93.43,88.71,"Milwaukee, WI"
164,09,91.67,77.72,"Milwaukee, WI"
165,10,86.26,75.98,"Milwaukee, WI"
166,11,80.51,63.81,"Milwaukee, WI"
167,12,83.19,64.25,"Milwaukee, WI"
168,01,88.93,59.53,"Nashville, TN"
169,02,90.7,59.92,"Nashville, TN"
170,03,94.18,80.41,"Nashville, TN"
171,04,95.71,82.58,"Nashville, TN"
172,05,97.09,96.95,"Nashville, TN"
173,06,100.0,100.0,"Nashville, TN"
174,07,94.89,96.13,"Nashville, TN"
175,08,93.58,95.62,"Nashville, TN"
176,09,91.14,85.48,"Nashville, TN"
177,10,90.26,83.06,"Nashville, TN"
178,11,91.54,73.87,"Nashville, TN"
179,12,91.92,80.43,"Nashville, TN"
180,01,78.96,61.04,"New Orleans, LA"
181,02,78.29,61.22,"New Orleans, LA"
182,03,86.61,73.93,"New Orleans, LA"
183,04,94.23,76.94,"New Orleans, LA"
184,05,97.82,93.89,"New Orleans, LA"
185,06,100.0,100.0,"New Orleans, LA"
186,07,94.54,85.74,"New Orleans, LA"
187,08,86.32,77.18,"New Orleans, LA"
188,09,86.52,69.86,"New Orleans, LA"
189,10,85.51,70.33,"New Orleans, LA"
190,11,89.37,68.46,"New Orleans, LA"
191,12,87.42,69.86,"New Orleans, LA"
192,01,97.25,78.31,"New York, NY"
