SALE_YEAR,NBHD_ID,SALE_PRICE
2000,1,139900.00
2000,3,208000.00
2000,4,127500.00
2000,5,139600.00
2000,6,200000.00
2000,7,424500.00
2000,8,175000.00
2000,9,399900.00
2000,11,136000.00
2000,12,317000.00
2000,13,211370.00
2000,14,232500.00
2000,15,265500.00
2000,17,132800.00
2000,18,141500.00
2000,19,138000.00
2000,20,312000.00
2000,21,272500.00
2000,22,520000.00
2000,24,136500.00
2000,25,133500.00
2000,26,300000.00
2000,27,215000.00
2000,28,183500.00
2000,29,132900.00
2000,30,233000.00
2000,31,252000.00
2000,32,238000.00
2000,33,251750.00
2000,34,154000.00
2000,35,181200.00
2000,36,231875.00
2000,37,406000.00
2000,39,217089.60
2000,41,152733.00
2000,42,432402.50
2000,43,145450.00
2000,44,189500.00
2000,45,154662.00
2000,46,237000.00
2000,48,199900.00
2000,49,139600.00
2000,50,160000.00
2000,51,203000.00
2000,52,166000.00
2000,53,210000.00
2000,54,152450.00
2000,55,180000.00
2000,56,195000.00
2000,57,316500.00
2000,58,290000.00
2000,59,310000.00
2000,60,407276.45
2000,62,159900.00
2000,64,221125.00
2000,65,172500.00
2000,66,304000.00
2000,67,132050.00
2000,68,128450.00
2000,69,182450.00
2000,70,380855.00
2000,71,310000.00
2000,72,251500.00
2000,73,349900.00
2000,74,182500.00
2000,75,210498.00
2000,76,139200.00
2000,77,153250.00
2001,1,159900.00
2001,3,195000.00
2001,4,150500.00
2001,5,152000.00
2001,6,225000.00
2001,7,377000.00
2001,8,201500.00
2001,9,362240.06
2001,11,150950.00
2001,12,346000.00
2001,13,221000.00
2001,14,259500.00
2001,15,311500.00
2001,17,130000.00
2001,18,158000.00
2001,19,168700.00
2001,20,303750.00
2001,21,280000.00
2001,22,565850.00
2001,24,142900.00
2001,25,135000.00
2001,26,209000.00
2001,27,240000.00
2001,28,186000.00
2001,29,152450.00
2001,30,286250.00
2001,31,285200.00
2001,32,257850.00
2001,33,284000.00
2001,34,166000.00
2001,35,185500.00
2001,36,207475.00
2001,37,430000.00
2001,39,244000.00
2001,41,143750.00
2001,42,455910.50
2001,43,166000.00
2001,44,285000.00
2001,45,176750.00
2001,46,245000.00
2001,48,245000.00
2001,49,157500.00
2001,50,148375.00
2001,51,228000.00
2001,52,165000.00
2001,53,222000.00
2001,54,165000.00
2001,55,163250.00
2001,56,224500.00
2001,57,345000.00
2001,58,309950.00
2001,59,277250.00
2001,60,408416.46
2001,62,179900.00
2001,64,239900.00
2001,65,193000.00
2001,66,316500.00
2001,67,159000.00
2001,68,154500.00
2001,69,219000.00
2001,70,397450.00
2001,71,250000.00
2001,72,229900.00
2001,73,249900.00
2001,74,162000.00
2001,75,230000.00
2001,76,145500.00
2001,77,191500.00
2002,1,168500.00
2002,3,189900.00
2002,4,155350.00
2002,5,164000.00
2002,6,230000.00
2002,7,422500.00
2002,8,210000.00
2002,9,327000.00
2002,11,160500.00
2002,12,490000.00
