SALE_YEAR,1,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2000,139900.0,208000.0,127500.0,139600.0,200000.0,424500.0,175000.0,399900.0,136000.0,317000.0,211370.0,232500.0,265500.0,132800.0,141500.0,138000.0,312000.0,272500.0,520000.0,136500.0,133500.0,300000.0,215000.0,183500.0,132900.0,233000.0,252000.0,238000.0,251750.0,154000.0,181200.0,231875.0,406000.0,217000.0,152733.0,432402.5,145450.0,189500.0,154662.0,237000.0,199900.0,139600.0,160000.0,203000.0,166000.0,210000.0,152450.0,180000.0,195000.0,316500.0,290000.0,310000.0,440515.0,159900.0,221125.0,172500.0,304000.0,132050.0,128450.0,182450.0,380855.0,310000.0,251500.0,349900.0,182500.0,210498.0,139200.0,153250.0
2001,159900.0,195000.0,150500.0,152000.0,225000.0,377000.0,201500.0,358966.6666666667,150950.0,346000.0,221000.0,259500.0,311500.0,130000.0,158000.0,168700.0,303750.0,280000.0,565850.0,142900.0,135000.0,209000.0,240000.0,186000.0,152450.0,286250.0,285200.0,257850.0,284000.0,166000.0,185500.0,207475.0,430000.0,244000.0,143750.0,455910.5,166000.0,285000.0,176750.0,245000.0,245000.0,157500.0,148375.0,228000.0,165000.0,222000.0,165000.0,163250.0,224500.0,345000.0,309950.0,277250.0,440515.0,179900.0,239900.0,193000.0,316500.0,159000.0,154500.0,219000.0,397450.0,250000.0,229900.0,249900.0,162000.0,230000.0,145500.0,191500.0
2002,168500.0,189900.0,155350.0,164000.0,230000.0,422500.0,210000.0,327000.0,160500.0,490000.0,415000.0,237000.0,268500.0,143000.0,150000.0,179950.0,335000.0,270500.0,810000.0,145000.0,131000.0,190900.0,226500.0,224900.0,100000.0,281750.0,259000.0,271500.0,318000.0,189950.0,204750.0,205000.0,560000.0,247000.0,145650.0,425000.0,162000.0,215150.0,177000.0,253000.0,234950.0,191193.0,170000.0,280000.0,188450.0,227000.0,174700.0,159925.0,257500.0,365000.0,248000.0,269250.0,386136.0,201900.0,244000.0,204950.0,335750.0,152000.0,152000.0,210000.0,375000.0,305000.0,232000.0,335000.0,186350.0,241250.0,155750.0,230000.0
2003,167375.0,223500.0,163000.0,150000.0,227000.0,719000.0,216000.0,350000.0,169000.0,550000.0,490000.0,279900.0,274950.0,159900.0,184950.0,185000.0,339667.0,282000.0,659000.0,148000.0,145000.0,179500.0,225000.0,200891.0,134000.0,278000.0,259900.0,275000.0,299350.0,184500.0,217000.0,211000.0,630000.0,160000.0,198250.0,490000.0,172000.0,216000.0,175500.0,253000.0,256000.0,175700.0,142000.0,259000.0,217000.0,240000.0,170000.0,169000.0,255000.0,340000.0,386000.0,267750.0,385000.0,202750.0,255000.0,191500.0,370000.0,149000.0,176000.0,216950.0,393750.0,295000.0,245000.0,427500.0,225000.0,265000.0,153500.0,228750.0
2004,175000.0,250000.0,160000.0,173000.0,247000.0,530000.0,233500.0,380000.0,168950.0,495500.0,680000.0,289900.0,329900.0,172000.0,156000.0,192700.0,392000.0,284500.0,886500.0,175000.0,140000.0,208000.0,244000.0,203477.5,165000.0,285500.0,281500.0,278500.0,325000.0,204000.0,225000.0,242500.0,600000.0,183000.0,157700.0,550564.0,174900.0,254500.0,185700.0,275000.0,243500.0,167750.0,158000.0,270000.0,188000.0,259000.0,179500.0,219900.0,244900.0,338000.0,458500.0,314900.0,410900.0,215000.0,245000.0,198500.0,530000.0,173750.0,166350.0,235000.0,430000.0,337725.0,245000.0,414000.0,169900.0,265000.0,165000.0,250500.0
2005,180947.5,288000.0,149750.0,173475.0,239900.0,798949.0,236800.0,435000.0,161000.0,465000.0,461360.0,346000.0,312000.0,177000.0,163000.0,162000.0,376000.0,343000.0,567000.0,168500.0,140000.0,246000.0,245000.0,219900.0,144450.0,314900.0,376750.0,287226.0,300000.0,201000.0,214900.0,231000.0,577000.0,226000.0,159500.0,470567.0,175000.0,294000.0,183650.0,300000.0,257450.0,165000.0,163000.0,305000.0,206250.0,280000.0,187000.0,202000.0,274275.5,440000.0,482500.0,315000.0,550409.0,207600.0,254100.0,220750.0,572450.0,158900.0,155750.0,235000.0,436500.0,366950.0,255000.0,435000.0,243250.0,283000.0,162040.5,263750.0
2006,160000.0,267500.0,133200.0,180000.0,236450.0,629500.0,255000.0,565000.0,160000.0,527500.0,451250.0,322500.0,309000.0,199149.5,179949.5,185509.5,388750.0,483250.0,780325.0,160000.0,129000.0,270000.0,250000.0,223534.0,152000.0,280000.0,325000.0,282450.0,356500.0,197000.0,216250.0,275000.0,660000.0,217500.0,201500.0,500364.0,164850.0,295000.0,155000.0,325000.0,252500.0,161000.0,150000.0,347500.0,209000.0,245000.0,170000.0,210000.0,300000.0,414000.0,440000.0,341750.0,491820.0,250000.0,322500.0,215000.0,493250.0,139000.0,179900.0,242000.0,490000.0,373500.0,260000.0,565000.0,220000.0,315000.0,134725.0,287430.0
2007,144900.0,225849.5,123100.0,150750.0,234950.0,698750.0,270000.0,483500.0,159000.0,475000.0,1555000.0,315000.0,408000.0,180000.0,183500.0,160000.0,389000.0,473000.0,905000.0,155000.0,145000.0,261500.0,218250.0,199545.0,127000.0,320000.0,321750.0,285000.0,387500.0,180000.0,223150.0,258500.0,720000.0,150500.0,158500.0,765000.0,151000.0,226450.0,154900.0,352500.0,326750.0,154300.0,156275.0,370000.0,194000.0,292000.0,149500.0,203250.0,330000.0,483750.0,499900.0,393225.0,531766.0,207500.0,295750.0,229500.0,551963.5,136750.0,139750.0,260250.0,540000.0,487000.0,290000.0,540000.0,151135.5,320000.0,145000.0,260000.0
2008,140000.0,260000.0,146091.0,145750.0,232000.0,702500.0,291000.0,580000.0,149500.0,369500.0,650000.0,323000.0,415000.0,162750.0,155000.0,173000.0,412000.0,369039.0,710500.0,154126.0,148755.0,252500.0,239000.0,179000.0,143150.0,296250.0,345000.0,291000.0,357600.0,178159.5,210000.0,300000.0,739500.0,271070.0,193500.0,595000.0,145000.0,231000.0,137159.0,317000.0,228000.0,168985.0,173400.0,360000.0,226000.0,295000.0,145355.5,223500.0,301782.0,410000.0,585000.0,389250.0,502889.5,227450.0,271000.0,247450.0,540000.0,136700.0,150000.0,232000.0,628100.0,390000.0,253750.0,517500.0,241500.0,365000.0,131000.0,274000.0
